,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,OverallQual,OverallCond,RoofStyle,RoofMatl,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Pool,GarageQuality,HouseAge,GarageAge,Remodel,TotalBath,WeightTotalBsmtSF,TotalPorchSF,Condition2Renew,PUD,SFoyer,Floor,Finish,SLvl,ExteriorBin,Interest,Qrtr,ATNHPIUS11180Q,SalePriceAd
10,3,70.0,11200,Pave,3,Lvl,AllPub,Inside,0,Sawyer,Norm,1Fam,5,5,Hip,CompShg,None,0.0,3,3,CBlock,3,3,1,3,906,1,0,134,1040,GasA,5,1,SBrkr,1040,0,0,1040,3,1,3,5,5,0,0,Detchd,1,1,384,Y,0,0,0,None,None,0,2,2008,WD,Normal,129500,0,3.0,43,43.0,1,2.0,2852,0,0,0,0,1.0,1,0,0.75,2.980689655172414,1,169.12,76572.8476821192
11,3,85.0,11924,Pave,2,Lvl,AllPub,Inside,0,NridgHt,Norm,1Fam,9,5,Hip,CompShg,Stone,286.0,5,3,PConc,5,3,1,6,998,1,0,177,1175,GasA,5,1,SBrkr,1182,1142,0,2324,4,1,5,11,5,2,4,BuiltIn,3,3,736,Y,147,0,0,None,None,0,7,2006,New,Partial,345000,0,3.0,0,1.0,1,4.0,6165,21,0,0,0,2.0,1,0,0.5,5.235161290322582,3,161.87,213133.99641687775
12,3,0.0,12968,Pave,1,Lvl,AllPub,Inside,0,Sawyer,Norm,1Fam,5,6,Hip,CompShg,None,0.0,3,3,CBlock,3,3,1,5,737,1,0,175,912,GasA,3,1,SBrkr,912,0,0,912,2,1,3,4,5,0,0,Detchd,1,1,352,Y,140,0,0,None,None,0,9,2008,WD,Normal,144000,0,3.0,46,46.0,1,2.0,3860,176,0,0,0,1.0,1,0,0.75,1.811666666666666,3,166.24,86621.75168431184
13,3,91.0,10652,Pave,2,Lvl,AllPub,Inside,0,CollgCr,Norm,1Fam,7,5,Gable,CompShg,Stone,306.0,4,3,PConc,4,3,3,1,0,1,0,1494,1494,GasA,5,1,SBrkr,1494,0,0,1494,3,1,4,7,5,1,4,Attchd,2,3,840,Y,160,0,0,None,None,0,8,2007,New,Partial,279500,0,3.0,0,1.0,1,2.0,1494,33,0,0,0,1.0,1,0,1.0,5.022258064516129,3,167.17,167195.0708859245
14,3,0.0,10920,Pave,2,Lvl,AllPub,Corner,0,NAmes,Norm,1Fam,6,5,Hip,CompShg,BrkFace,212.0,3,3,CBlock,3,3,1,4,733,1,0,520,1253,GasA,3,1,SBrkr,1253,0,0,1253,2,1,3,5,5,1,2,Attchd,2,1,352,Y,0,0,0,GdWo,None,0,5,2008,WD,Normal,157000,0,3.0,48,48.0,1,2.5,3452,389,0,0,0,1.0,1,0,0.5,1.9783870967741932,2,166.88,94079.57813998082
15,1,51.0,6120,Pave,3,Lvl,AllPub,Corner,0,BrkSide,Norm,1Fam,7,8,Gable,CompShg,None,0.0,3,3,BrkTil,3,3,1,1,0,1,0,832,832,GasA,5,1,FuseA,854,0,0,854,2,1,3,5,5,0,0,Detchd,1,2,576,Y,48,0,0,GdPrv,None,0,7,2007,WD,Normal,132000,0,3.0,6,16.0,1,1.0,832,112,0,0,0,1.5,0,0,0.5,5.258387096774193,3,167.17,78961.5361607944
16,3,0.0,11241,Pave,2,Lvl,AllPub,CulDSac,0,NAmes,Norm,1Fam,6,7,Gable,CompShg,BrkFace,180.0,3,3,CBlock,3,3,1,5,578,1,0,426,1004,GasA,5,1,SBrkr,1004,0,0,1004,2,1,3,5,5,1,3,Attchd,3,2,480,Y,0,0,0,None,Shed,700,3,2010,WD,Normal,149000,0,3.0,40,40.0,1,2.0,3316,0,0,0,0,1.0,1,0,0.5,0.16451612903225812,1,162.76,91545.83435733596
17,3,72.0,10791,Pave,3,Lvl,AllPub,Inside,0,Sawyer,Norm,Duplex,4,5,Gable,CompShg,None,0.0,3,3,Slab,0,0,0,0,0,0,0,0,0,GasA,3,1,SBrkr,1296,0,0,1296,2,2,3,6,5,0,0,CarPort,1,2,516,Y,0,0,0,None,Shed,500,10,2006,WD,Normal,90000,0,3.0,39,39.0,1,2.0,0,0,0,0,0,1.0,1,0,0.5,5.245161290322579,4,164.19,54814.544125708024
18,3,66.0,13695,Pave,3,Lvl,AllPub,Inside,0,SawyerW,RRAe,1Fam,5,5,Gable,CompShg,None,0.0,3,3,PConc,3,3,1,6,646,1,0,468,1114,GasA,5,1,SBrkr,1114,0,0,1114,3,1,4,6,5,0,0,Detchd,1,2,576,Y,0,0,0,None,None,0,6,2008,WD,Normal,159000,0,3.0,4,4.0,1,2.5,4344,102,1,0,0,1.0,1,0,1.0,2.001,2,166.88,95278.04410354745
19,3,70.0,7560,Pave,3,Lvl,AllPub,Inside,0,NAmes,Norm,1Fam,5,6,Hip,CompShg,None,0.0,3,3,CBlock,3,3,1,2,504,1,0,525,1029,GasA,3,1,SBrkr,1339,0,0,1339,3,1,3,6,4,0,0,Attchd,1,1,294,Y,0,0,0,MnPrv,None,0,5,2009,COD,Abnorml,139000,0,3.0,44,51.0,1,1.0,1533,0,0,0,0,1.0,1,0,0.75,0.17741935483870971,2,168.15,82664.28783823967
20,3,101.0,14215,Pave,2,Lvl,AllPub,Corner,0,NridgHt,Norm,1Fam,8,5,Gable,CompShg,BrkFace,380.0,4,3,PConc,5,3,3,1,0,1,0,1158,1158,GasA,5,1,SBrkr,1158,1218,0,2376,4,1,4,9,5,1,4,BuiltIn,2,3,853,Y,240,0,0,None,None,0,11,2006,New,Partial,325300,0,3.0,0,1.0,1,3.5,1158,154,0,0,0,2.0,1,0,1.0,5.245666666666668,4,164.19,198124.1244899202
21,1,57.0,7449,Pave,3,Bnk,AllPub,Inside,0,IDOTRR,Norm,1Fam,7,7,Gable,CompShg,None,0.0,3,3,PConc,3,3,1,1,0,1,0,637,637,GasA,5,1,FuseF,1108,0,0,1108,3,1,4,6,5,1,4,Attchd,1,1,280,N,0,0,0,GdPrv,None,0,6,2007,WD,Normal,139400,0,3.0,57,77.0,1,1.0,637,205,0,0,0,1.5,0,0,0.5,5.254,2,168.01,82971.25171120767
22,3,75.0,9742,Pave,3,Lvl,AllPub,Inside,0,CollgCr,Norm,1Fam,8,5,Hip,CompShg,BrkFace,281.0,4,3,PConc,4,3,1,1,0,1,0,1777,1777,GasA,5,1,SBrkr,1795,0,0,1795,3,1,4,7,5,1,4,Attchd,2,2,534,Y,171,0,0,None,None,0,9,2008,WD,Normal,230000,0,3.0,6,6.0,1,2.0,1777,159,0,0,0,1.0,1,0,1.0,1.811666666666666,3,166.24,138354.18671799806
23,1,44.0,4224,Pave,3,Lvl,AllPub,Inside,0,MeadowV,Norm,TwnhsE,5,7,Gable,CompShg,None,0.0,3,3,PConc,4,3,1,6,840,1,0,200,1040,GasA,3,1,SBrkr,1060,0,0,1060,3,1,3,6,5,1,3,Attchd,1,2,572,Y,100,0,0,None,None,0,6,2007,WD,Normal,129900,0,3.0,31,31.0,1,2.0,5240,110,0,1,0,1.0,1,0,1.0,5.254,2,168.01,77316.82637938218
24,3,0.0,8246,Pave,2,Lvl,AllPub,Inside,0,Sawyer,Norm,1Fam,5,8,Gable,CompShg,None,0.0,3,4,CBlock,3,3,2,3,188,5,668,204,1060,GasA,5,1,SBrkr,1060,0,0,1060,3,1,4,6,5,1,3,Attchd,1,1,270,Y,406,0,0,MnPrv,None,0,5,2010,WD,Normal,154000,0,3.0,9,42.0,1,2.0,3904,90,0,0,0,1.0,1,0,0.75,0.2006451612903227,2,166.25,92631.57894736841
25,3,110.0,14230,Pave,3,Lvl,AllPub,Corner,0,NridgHt,Norm,1Fam,8,5,Gable,CompShg,Stone,640.0,4,3,PConc,4,3,1,1,0,1,0,1566,1566,GasA,5,1,SBrkr,1600,0,0,1600,3,1,4,7,5,1,4,Attchd,2,3,890,Y,0,0,0,None,None,0,7,2009,WD,Normal,256300,0,3.0,2,2.0,1,2.0,1566,56,0,0,0,1.0,1,0,1.0,0.1558064516129032,3,166.18,154230.35262967864
26,3,60.0,7200,Pave,3,Lvl,AllPub,Corner,0,NAmes,Norm,1Fam,5,7,Gable,CompShg,None,0.0,3,3,CBlock,3,3,2,4,234,3,486,180,900,GasA,3,1,SBrkr,900,0,0,900,3,1,4,5,5,0,0,Detchd,1,2,576,Y,222,0,0,None,None,0,5,2010,WD,Normal,134800,0,3.0,10,5.0,1,1.5,2394,32,0,0,0,1.0,1,0,0.5,0.2006451612903227,2,166.25,81082.70676691728
27,3,98.0,11478,Pave,3,Lvl,AllPub,Inside,0,NridgHt,Norm,1Fam,8,5,Gable,CompShg,Stone,200.0,4,3,PConc,5,3,1,6,1218,1,0,486,1704,GasA,5,1,SBrkr,1704,0,0,1704,3,1,4,7,5,1,4,Attchd,2,3,772,Y,0,0,0,None,None,0,5,2010,WD,Normal,306000,0,3.0,2,2.0,1,3.0,7794,50,0,0,0,1.0,1,0,1.0,0.2006451612903227,2,166.25,184060.15037593985
28,3,47.0,16321,Pave,2,Lvl,AllPub,CulDSac,0,NAmes,Norm,1Fam,5,6,Gable,CompShg,None,0.0,3,3,CBlock,3,3,4,4,1277,1,0,207,1484,GasA,3,1,SBrkr,1600,0,0,1600,2,1,3,6,5,2,4,Attchd,2,1,319,Y,288,0,0,None,None,0,12,2006,WD,Normal,207500,0,3.0,9,49.0,1,2.0,5315,258,0,0,0,1.0,1,0,0.5,5.23806451612903,4,164.19,126377.97673427127
29,1,60.0,6324,Pave,2,Lvl,AllPub,Inside,0,BrkSide,Feedr,1Fam,4,6,Gable,CompShg,None,0.0,3,3,BrkTil,3,3,1,1,0,1,0,520,520,GasA,2,0,SBrkr,520,0,0,520,1,1,2,4,5,0,0,Detchd,1,1,240,Y,49,0,0,None,None,0,5,2008,WD,Normal,68500,0,2.5,58,88.0,1,1.0,520,87,1,0,0,1.0,1,0,0.5,1.9783870967741932,2,166.88,41047.459252157234
30,0,50.0,8500,Pave,3,Lvl,AllPub,Inside,0,IDOTRR,Feedr,1Fam,4,4,Gambrel,CompShg,None,0.0,3,2,BrkTil,3,3,1,1,0,1,0,649,649,GasA,3,0,SBrkr,649,668,0,1317,3,1,3,6,5,0,0,Detchd,1,1,250,N,0,0,0,MnPrv,None,0,7,2008,WD,Normal,40000,0,2.5,58,88.0,1,1.0,649,226,1,0,0,2.0,1,0,0.75,2.009677419354839,3,166.24,24061.59769008662
31,3,0.0,8544,Pave,2,Lvl,AllPub,CulDSac,0,Sawyer,Norm,1Fam,5,6,Gable,CompShg,None,0.0,3,3,CBlock,3,3,1,1,0,1,0,1228,1228,GasA,4,1,SBrkr,1228,0,0,1228,3,1,4,6,5,0,0,Attchd,1,1,271,Y,0,0,0,MnPrv,None,0,6,2008,WD,Normal,149350,0,3.0,2,42.0,1,1.5,1228,65,0,0,0,1.0,1,0,0.75,2.001,2,166.88,89495.44582933844
32,3,85.0,11049,Pave,3,Lvl,AllPub,Corner,0,CollgCr,Norm,1Fam,8,5,Gable,CompShg,None,0.0,4,3,PConc,5,3,3,1,0,1,0,1234,1234,GasA,5,1,SBrkr,1234,0,0,1234,3,1,4,7,5,0,0,Attchd,2,2,484,Y,0,0,0,None,None,0,1,2008,WD,Normal,179900,0,3.0,1,1.0,1,2.0,1234,30,0,0,0,1.0,1,0,1.0,3.940322580645162,1,169.12,106374.17218543046
33,3,70.0,10552,Pave,2,Lvl,AllPub,Inside,0,NAmes,Norm,1Fam,5,5,Hip,CompShg,None,0.0,3,3,CBlock,3,3,1,3,1018,1,0,380,1398,GasA,4,1,SBrkr,1700,0,0,1700,4,1,4,6,5,1,4,Attchd,2,2,447,Y,0,0,0,None,None,0,4,2010,WD,Normal,165500,0,3.0,51,51.0,1,2.0,3434,38,0,0,0,1.0,1,0,0.75,0.1983333333333334,2,166.25,99548.87218045113
34,3,60.0,7313,Pave,3,Lvl,AllPub,Inside,0,NridgHt,Norm,TwnhsE,9,5,Hip,CompShg,BrkFace,246.0,5,3,PConc,5,3,1,6,1153,1,0,408,1561,GasA,5,1,SBrkr,1561,0,0,1561,2,1,5,6,5,1,4,Attchd,3,2,556,Y,203,0,0,None,None,0,8,2007,WD,Normal,277500,0,3.0,2,2.0,1,3.0,7326,47,0,1,0,1.0,1,0,0.5,5.022258064516129,3,167.17,165998.6839743973
35,3,108.0,13418,Pave,3,Lvl,AllPub,Inside,0,NridgHt,Norm,1Fam,8,5,Gable,CompShg,Stone,132.0,4,3,PConc,5,3,3,1,0,1,0,1117,1117,GasA,5,1,SBrkr,1132,1320,0,2452,4,1,4,9,5,1,4,BuiltIn,3,3,691,Y,113,0,0,None,None,0,9,2006,WD,Normal,309000,0,3.0,1,2.0,1,3.5,1117,32,0,0,0,2.0,1,0,1.0,5.254666666666668,3,161.87,190893.92722555136
36,3,112.0,10859,Pave,3,Lvl,AllPub,Corner,0,CollgCr,Norm,1Fam,5,5,Gable,CompShg,None,0.0,3,3,PConc,4,3,1,1,0,1,0,1097,1097,GasA,5,1,SBrkr,1097,0,0,1097,3,1,3,6,5,0,0,Attchd,1,2,672,Y,392,0,0,None,None,0,6,2009,WD,Normal,145000,0,3.0,14,14.0,1,1.5,1097,64,0,0,0,1.0,1,0,1.0,0.2063333333333333,2,168.15,86232.53047873922
37,3,74.0,8532,Pave,3,Lvl,AllPub,Inside,0,NAmes,Norm,1Fam,5,6,Hip,CompShg,BrkFace,650.0,3,3,CBlock,3,3,1,3,1213,1,0,84,1297,GasA,4,1,SBrkr,1297,0,0,1297,3,1,3,5,5,1,3,Attchd,3,2,498,Y,0,0,0,None,None,0,10,2009,WD,Normal,153000,0,3.0,19,55.0,1,1.5,3723,0,0,0,0,1.0,1,0,0.5,0.11806451612903225,4,167.06,91583.86208547826
38,3,68.0,7922,Pave,3,Lvl,AllPub,Inside,0,NAmes,Norm,1Fam,5,7,Gable,CompShg,None,0.0,3,4,CBlock,3,3,1,6,731,1,0,326,1057,GasA,3,1,SBrkr,1057,0,0,1057,3,1,4,5,5,0,0,Detchd,1,1,246,Y,0,0,0,None,None,0,1,2010,WD,Abnorml,109000,0,3.0,3,57.0,1,2.0,4712,52,0,0,0,1.0,1,0,1.0,0.11000000000000003,1,162.76,66969.77144261489
39,3,65.0,6040,Pave,3,Lvl,AllPub,Inside,0,Edwards,Norm,Duplex,4,5,Gable,CompShg,None,0.0,3,3,PConc,0,0,0,0,0,0,0,0,0,GasA,3,0,FuseP,1152,0,0,1152,2,2,2,6,5,0,0,None,0,0,0,N,0,0,0,None,None,0,6,2008,WD,AdjLand,82000,0,0.0,53,53.0,1,2.0,0,0,0,0,0,1.0,1,0,0.25,2.001,2,166.88,49137.10450623202
40,3,84.0,8658,Pave,3,Lvl,AllPub,Inside,0,NAmes,Norm,1Fam,6,5,Gable,CompShg,BrkFace,101.0,3,3,CBlock,3,3,1,3,643,1,0,445,1088,GasA,5,1,SBrkr,1324,0,0,1324,3,1,3,6,5,1,3,Attchd,2,2,440,Y,0,0,0,GdWo,None,0,12,2006,WD,Abnorml,160000,0,3.0,41,41.0,1,2.0,2374,138,0,0,0,1.0,1,0,0.5,5.23806451612903,4,164.19,97448.07844570316
41,3,115.0,16905,Pave,3,Lvl,AllPub,Inside,0,Timber,Norm,1Fam,5,6,Gable,CompShg,None,0.0,3,4,CBlock,3,3,4,4,967,1,0,383,1350,GasA,4,1,SBrkr,1328,0,0,1328,2,1,3,5,5,2,4,Attchd,2,1,308,P,0,0,0,None,None,0,7,2007,WD,Normal,170000,0,3.0,48,48.0,1,2.0,4251,104,0,0,0,1.0,1,0,1.0,5.258387096774193,3,167.17,101692.88747981098
42,3,0.0,9180,Pave,2,Lvl,AllPub,CulDSac,0,SawyerW,Norm,1Fam,5,7,Gable,CompShg,None,0.0,3,3,CBlock,4,3,3,5,747,2,93,0,840,GasA,4,1,SBrkr,884,0,0,884,2,1,4,5,5,0,0,Attchd,2,2,504,Y,240,0,0,MnPrv,None,0,12,2007,WD,Normal,144000,0,3.5,24,24.0,1,2.0,3921,0,0,0,1,1.5,1,0,0.75,4.2445161290322595,4,167.9,85765.33650982728
43,3,0.0,9200,Pave,2,Lvl,AllPub,CulDSac,0,CollgCr,Norm,1Fam,5,6,Hip,CompShg,None,0.0,3,3,CBlock,4,3,3,2,280,4,491,167,938,GasA,3,1,SBrkr,938,0,0,938,3,1,3,5,5,0,0,Detchd,1,1,308,Y,145,0,0,MnPrv,None,0,7,2008,WD,Normal,130250,0,3.0,28,31.0,1,2.0,2524,0,0,0,0,1.0,1,0,1.0,2.009677419354839,3,166.24,78350.57747834455
44,3,70.0,7945,Pave,3,Lvl,AllPub,Inside,0,NAmes,Norm,1Fam,5,6,Gable,CompShg,None,0.0,3,3,CBlock,3,3,1,5,179,4,506,465,1150,GasA,5,1,FuseA,1150,0,0,1150,3,1,3,6,5,0,0,Attchd,2,1,300,Y,0,0,0,None,None,0,5,2006,WD,Normal,141000,0,3.0,47,47.0,1,2.0,2919,0,0,0,0,1.0,1,0,0.75,4.940322580645163,2,163.69,86138.43240271244
45,3,61.0,7658,Pave,3,Lvl,AllPub,Inside,0,NridgHt,Norm,TwnhsE,9,5,Hip,CompShg,BrkFace,412.0,5,3,PConc,5,3,1,6,456,1,0,1296,1752,GasA,5,1,SBrkr,1752,0,0,1752,2,1,5,6,5,1,4,Attchd,2,2,576,Y,196,0,0,None,None,0,2,2010,WD,Normal,319900,0,3.0,5,5.0,1,3.0,4032,82,0,1,0,1.0,1,0,0.5,0.12642857142857145,1,162.76,196547.0631604817
46,3,48.0,12822,Pave,2,Lvl,AllPub,CulDSac,0,Mitchel,Norm,1Fam,7,5,Gable,CompShg,None,0.0,4,3,PConc,5,3,1,6,1351,1,0,83,1434,GasA,5,1,SBrkr,1518,631,0,2149,1,1,4,6,5,1,5,Attchd,2,2,670,Y,168,0,0,None,None,0,8,2009,WD,Abnorml,239686,0,3.0,6,6.0,1,2.5,8189,241,0,0,0,1.5,1,0,1.0,0.16032258064516125,3,166.18,144232.75965820195
47,4,84.0,11096,Pave,3,Lvl,AllPub,Inside,0,Somerst,Norm,1Fam,8,5,Gable,CompShg,None,0.0,4,3,PConc,4,3,3,6,24,1,0,1632,1656,GasA,5,1,SBrkr,1656,0,0,1656,3,1,4,7,5,0,0,Attchd,2,3,826,Y,0,0,0,None,None,0,7,2007,WD,Normal,249700,0,3.0,1,1.0,1,2.0,1776,146,0,0,0,1.0,1,0,1.0,5.258387096774193,3,167.17,149368.9059041694
48,1,33.0,4456,Pave,3,Lvl,AllPub,Inside,0,OldTown,Norm,2fmCon,4,5,Gable,CompShg,None,0.0,3,3,BrkTil,3,3,1,1,0,1,0,736,736,GasA,4,1,SBrkr,736,716,0,1452,2,3,3,8,5,0,0,None,0,0,0,N,0,0,0,None,None,0,6,2009,New,Partial,113000,0,0.0,1,89.0,1,2.0,736,102,0,0,0,2.0,1,0,0.5,0.2063333333333333,2,168.15,67201.9030627416
49,3,66.0,7742,Pave,3,Lvl,AllPub,Inside,0,Sawyer,Norm,1Fam,5,7,Gable,CompShg,None,0.0,3,3,CBlock,3,3,1,4,763,1,0,192,955,GasA,5,1,SBrkr,955,0,0,955,3,1,3,6,5,0,0,Attchd,1,1,386,Y,0,0,0,MnPrv,None,0,1,2007,WD,Normal,127000,0,3.0,41,41.0,1,2.0,3244,0,0,0,0,1.0,1,0,0.75,5.248387096774192,1,165.24,76857.90365528926
50,3,0.0,13869,Pave,1,Lvl,AllPub,Corner,0,Gilbert,Norm,1Fam,6,6,Gable,CompShg,None,0.0,3,3,PConc,4,3,3,6,182,1,0,612,794,GasA,4,1,SBrkr,794,676,0,1470,3,1,3,6,5,0,0,Attchd,3,2,388,Y,0,0,0,None,None,0,7,2007,WD,Normal,177000,0,3.0,10,10.0,1,2.5,1704,75,0,0,0,2.0,1,0,1.0,5.258387096774193,3,167.17,105880.24167015613
51,1,52.0,6240,Pave,3,Lvl,AllPub,Inside,0,BrkSide,Norm,1Fam,6,6,Gable,CompShg,None,0.0,3,3,PConc,3,3,1,1,0,1,0,816,816,GasA,3,1,SBrkr,816,0,360,1176,3,1,3,6,5,1,4,Detchd,1,2,528,Y,112,0,0,MnPrv,Shed,400,9,2006,WD,Normal,114500,0,3.0,56,21.0,1,1.0,816,0,0,0,0,1.5,1,0,0.5,5.254666666666668,3,161.87,70735.77562241304
52,1,110.0,8472,Grvl,1,Bnk,AllPub,Corner,1,IDOTRR,RRNn,Duplex,5,5,Gable,CompShg,None,0.0,2,3,CBlock,4,3,4,2,104,6,712,0,816,GasA,3,0,SBrkr,816,0,0,816,2,1,3,5,5,0,0,CarPort,1,2,516,Y,106,0,0,None,None,0,5,2010,WD,Normal,110000,0,3.0,47,47.0,1,2.0,4480,0,1,0,0,1.0,1,0,0.5,0.2006451612903227,2,166.25,66165.41353383458
53,3,68.0,50271,Pave,2,Low,AllPub,Inside,0,Veenker,Norm,1Fam,9,5,Gable,WdShngl,None,0.0,4,3,CBlock,5,3,4,6,1810,1,0,32,1842,GasA,4,1,SBrkr,1842,0,0,1842,0,1,4,5,5,1,4,Attchd,3,3,894,Y,857,0,0,None,None,0,11,2006,WD,Normal,385000,0,3.0,19,25.0,1,2.5,10892,72,0,0,0,1.0,1,0,0.5,5.245666666666668,4,164.19,234484.4387599732
